Table 0 Row 1 Col 2 Para 0: Highlighted: '134.40', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: 'Thermal', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: '&', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: 'Process', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: 'System', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: '(Piping,', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: 'Valves,', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: 'Pumps,', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: 'Tank,', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: 'Insulation', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: '&', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 2 Col 1 Para 0: Highlighted: 'Steam Distribution Network)', Color: YELLOW (7)
Table 0 Row 2 Col 2 Para 0: Highlighted: '8.25', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: 'Electrical', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: '&', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: 'Automation', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: 'System', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: '(Control', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: 'Panel,', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: 'Instrumentation,', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: 'Cabling', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: '& ', Color: YELLOW (7)
Table 0 Row 3 Col 1 Para 0: Highlighted: 'Accessories)', Color: YELLOW (7)
Table 0 Row 3 Col 2 Para 0: Highlighted: '3.49', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: 'Civil', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: '&', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: 'Structural', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: 'Works', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: '(Foundations', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: '&', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: 'Support', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 4 Col 1 Para 0: Highlighted: 'Structures)', Color: YELLOW (7)
Table 0 Row 4 Col 2 Para 0: Highlighted: '2.00', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: 'Installation,', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: 'Testing,', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: ' ', Color: YELLOW (7)
Table 0 Row 5 Col 1 Para 0: Highlighted: 'Commissioning,', Color: YELLOW (7)
